Data: ['10.131.0.1', '15/Dec/2017:08:55:07', 'POST /process.php HTTP/1.1', '302', '301.05'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343129031656186357416057634818', 'ResponseMetadata': {'RequestId': 'f57870bd-a486-26f6-a1fe-6c33cd7ae9e2', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'f57870bd-a486-26f6-a1fe-6c33cd7ae9e2', 'x-amz-id-2': 'KB4eP5/tbbcciiQDa/1rMfye3MArNFd5JaWsyASOHqC7KQW4ddPqtqGCKG9k99+qXFjAUbJj9Ze+ALaNzPkFcCXdVPhYDHRl', 'date': 'Sat, 8 Dec 2018 19:23:58 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.131.0.1', '15/Dec/2017:08:55:07', 'GET /home.php HTTP/1.1', '200', '299.94'] Response: {'ShardId': 'shardId-000000000001', 'SequenceNumber': '49590876281673628396730846966271776300278620406738321426', 'ResponseMetadata': {'RequestId': 'db119d5c-f8ca-6313-8f97-81d39136ac07', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'db119d5c-f8ca-6313-8f97-81d39136ac07', 'x-amz-id-2': 'gEOjWrVVPPIwolghKYh2xGMzN92hM32CgMdbs3zwX88gQIti/ax1lyHQHJjihDV9RYs4hgNlZvIRQV+oKPyMcAqAKMcacgIi', 'date': 'Sat, 8 Dec 2018 19:23:59 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.131.0.1', '15/Dec/2017:08:55:08', 'GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1', '200', '203.2'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343131449507825586674407047170', 'ResponseMetadata': {'RequestId': 'f47ec53d-fe97-4016-a0f8-d9b2976b8f02', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'f47ec53d-fe97-4016-a0f8-d9b2976b8f02', 'x-amz-id-2': 'ckWAP7OpOgLGHmX0I38+bkemHlYzyGpHQHtbz4cwwqWQVN59N0KULzK8BNrF3b9/RkSQtJFml0mkKjLSwOIiGDswHfUKysAT', 'date': 'Sat, 8 Dec 2018 19:23:59 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:55:08', 'GET /js/vendor/moment.min.js HTTP/1.1', '200', '654.42'] Response: {'ShardId': 'shardId-000000000001', 'SequenceNumber': '49590876281673628396730846966274194151917849733807210514', 'ResponseMetadata': {'RequestId': 'fc480294-7aa2-ac0d-a8ce-1e1b135e6319', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'fc480294-7aa2-ac0d-a8ce-1e1b135e6319', 'x-amz-id-2': 'WrbfACSi5P0ngH4ABpG17L6eCbL83KL54A70vIe7hEgLcQsLnQayRx7owV0F+lJurUXHI5cLWB86oPe9Azu4nMP23EcL4Qwf', 'date': 'Sat, 8 Dec 2018 19:23:59 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:55:16', 'GET /compiler.php HTTP/1.1', '200', '15.74'] Response: {'ShardId': 'shardId-000000000001', 'SequenceNumber': '49590876281673628396730846966275403077737464362981916690', 'ResponseMetadata': {'RequestId': 'e06d2538-2bdc-16b9-b4eb-39a84220d9ad', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'e06d2538-2bdc-16b9-b4eb-39a84220d9ad', 'x-amz-id-2': 'aV3oHofLsjCJhGi7u4EiVQS71/jEKtHIQ6GgQnMSgEDrX+qeALcLa8wtVK+V6k5IeEentf6+R7noGx7EsG2ONKBWsHL/NAg1', 'date': 'Sat, 8 Dec 2018 19:24:00 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:55:16', 'GET /archive.php HTTP/1.1', '200', '653.78'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343135076285284430699370119170', 'ResponseMetadata': {'RequestId': 'c350bba8-e50b-03ae-97d6-a7398cf7ccba', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'c350bba8-e50b-03ae-97d6-a7398cf7ccba', 'x-amz-id-2': 'fiucaDi7xymftrRG581qGrcDYGViVuP6hD7/4XR9yF2NlkGRHRKoHcYL0elEa7Wi366knuMmIwWcnjUWYenUmpOjm+KijePR', 'date': 'Sat, 8 Dec 2018 19:24:01 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:55:20', 'GET /contest.php HTTP/1.1', '200', '495.11'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343136285211104045397264302082', 'ResponseMetadata': {'RequestId': 'dd49897e-72ca-630e-89cf-95ec1b36ac1a', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'dd49897e-72ca-630e-89cf-95ec1b36ac1a', 'x-amz-id-2': 'hdCYQLlLWNPBKShyCvGOq7eW9g/ViSDnkUeis0SdgtXapPqQL9gv5WbHnX0Vm1zSrHh84O/NeLdPcnCCpJJnKX+H2TAy4dyR', 'date': 'Sat, 8 Dec 2018 19:24:02 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:55:23', 'GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1', '200', '666.9'] Response: {'ShardId': 'shardId-000000000001', 'SequenceNumber': '49590876281673628396730846966279029855196308456664465426', 'ResponseMetadata': {'RequestId': 'e8a6291d-388f-2c8e-bc20-358e5173e39a', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'e8a6291d-388f-2c8e-bc20-358e5173e39a', 'x-amz-id-2': 'Y6Ig3flCGfFejyJnkhV280SVstIgRYnI5lr7bk0FP7UmHWreb+L1CHwMl6QX63xge/Qn1texlcDfzBQnFg80ChnJB8uEVlKa', 'date': 'Sat, 8 Dec 2018 19:24:03 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:55:40', 'GET /contest.php HTTP/1.1', '200', '50.26'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343138703062743274793052667906', 'ResponseMetadata': {'RequestId': 'd969cdc3-6c1b-9b6d-8def-d15705e75479', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'd969cdc3-6c1b-9b6d-8def-d15705e75479', 'x-amz-id-2': 'ssp1bd7RX7lJr+eqnY8Yo7zg/qoRPvC/94GbLjR9kDl/qrH7mqd7j4jECLejwv05YzJEJHuA/P+6ZLKW/f9VItem6KNpHIdS', 'date': 'Sat, 8 Dec 2018 19:24:04 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:55:40', 'GET /archive.php HTTP/1.1', '200', '192.74'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343139911988562889490946850818', 'ResponseMetadata': {'RequestId': 'd5fb47c7-72bc-ff74-817d-5b531b403060', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'd5fb47c7-72bc-ff74-817d-5b531b403060', 'x-amz-id-2': 'qYNmaTbatzi+QAKWXp9ZqgGMWL8XDwLpUcLYf0JNouFYjPon0QScelHYBgVEevHb/j8xS9Xsm1h1N53VT+9pUHknn2z8p5V0', 'date': 'Sat, 8 Dec 2018 19:24:04 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
